1;Fondation de Poudlard;990
2;Naissance d'Albus Dumbledore;1881
3;Naissance de Tom Elvis Jedusor;1926
4;Première ouverture de la Chambre des secrets;1942
5;Mort de Mimi Geignarde;1943
6;Dumbledore bat Grindelwald;1945
7;Naissance de Sirius Black;1959
8;Naissance de Severus Rogue;1960
9;Severus Rogue rencontre Lily Evans;1969
10;Dumbledore devient directeur de Poudlard;1970
11;Naissance de Harry Potter;1980
12;Mort de Lily et James Potter;1981
13;Entrée de Harry Potter Ã  Poudlard;1991
14;Seconde ouverture de la Chambre des secrets;1992
15;Évasion de Sirius Black;1993
16;Mort de Cédric Diggory;1995
17;Mort de Sirius Black;1996
18;Mort de Dumbledore;1997
19;Bataille de Poudlard;1998
